Player,Team,RATT,RYDS,RTDS,REC,CYDS,CTDS,FL,FPTS,POS,RBTrueFPTs,RBRank,VORP,WRTrueFPTs,WRRank,PATT,CMP,PYDS,PTDS,INTS,QBTrueFPTs,QBRank,TETrueFPTs,TERank
Alex Armah,NO,4.2,17.4,0.2,4.2,34.7,0.2,0.1,7.3,RB,8.46,129.0,-79.21000000000001,,,,,,,,,,,
Andrew Beck,DEN,4.9,21.3,0.2,4.1,28.1,0.2,0.0,7.0,RB,8.365000000000002,130.0,-79.305,,,,,,,,,,,
Ty Montgomery,NO,14.5,51.0,0.0,3.4,23.9,0.0,0.0,7.5,RB,8.34,131.0,-79.33,,,,,,,,,,,
Buddy Howell,HOU,4.0,17.1,0.2,4.1,29.2,0.2,0.0,6.5,RB,8.055,132.0,-79.61500000000001,,,,,,,,,,,
Rico Dowdle,DAL,6.8,29.0,0.2,2.9,22.7,0.1,0.1,7.0,RB,7.495000000000001,133.0,-80.175,,,,,,,,,,,
Alfred Morris,NYG,9.1,37.8,0.3,1.5,10.4,0.0,0.1,6.5,RB,6.795,134.0,-80.875,,,,,,,,,,,
Nick Bellore,SEA,1.5,6.7,0.0,4.4,31.4,0.3,0.0,5.8,RB,6.709999999999999,135.0,-80.96000000000001,,,,,,,,,,,
Keith Smith,ATL,3.2,13.7,0.1,3.4,26.1,0.2,0.1,5.5,RB,6.430000000000001,136.0,-81.24,,,,,,,,,,,
Gabe Nabers,LAC,3.3,14.4,0.1,3.2,25.0,0.2,0.1,5.8,RB,6.340000000000001,137.0,-81.33,,,,,,,,,,,
Andy Janovich,CLE,1.0,4.3,0.0,3.9,32.6,0.2,0.0,4.8,RB,5.865,138.0,-81.805,,,,,,,,,,,
Trenton Cannon,CAR,4.1,17.0,0.1,2.5,19.2,0.1,0.0,4.7,RB,5.445,139.0,-82.225,,,,,,,,,,,
Kalen Ballage,PIT,7.0,27.6,0.2,1.8,11.7,0.0,0.1,5.3,RB,5.38,140.0,-82.29,,,,,,,,,,,
Antonio Williams,BUF,9.0,37.4,0.2,0.3,2.8,0.0,0.0,5.0,RB,5.295000000000001,141.0,-82.375,,,,,,,,,,,
Derek Watt,PIT,4.2,18.1,0.2,1.7,12.2,0.1,0.0,4.4,RB,5.255000000000001,142.0,-82.415,,,,,,,,,,,
Darwin Thompson,KC,6.6,26.1,0.1,1.8,13.8,0.0,0.0,4.8,RB,5.040000000000001,143.5,-82.63,,,,,,,,,,,
Alex Collins,SEA,4.8,20.3,0.2,1.4,10.6,0.1,0.1,4.4,RB,5.040000000000001,143.5,-82.63,,,,,,,,,,,
Ben Mason,BAL,0.0,0.0,0.0,3.4,27.7,0.2,0.0,4.1,RB,4.82,145.0,-82.85,,,,,,,,,,,
J.J. Taylor,NE,2.8,12.1,0.1,2.3,17.8,0.1,0.0,3.9,RB,4.765000000000001,146.0,-82.905,,,,,,,,,,,
Michael Burton,KC,3.3,14.0,0.1,1.8,14.8,0.1,0.0,3.9,RB,4.530000000000001,147.0,-83.14,,,,,,,,,,,
Josh Adams,NYJ,5.1,22.1,0.2,0.9,6.1,0.0,0.0,3.8,RB,4.245000000000001,148.0,-83.425,,,,,,,,,,,
Dexter Williams,GB,4.4,18.6,0.2,0.4,3.1,0.0,0.0,3.0,RB,3.4700000000000006,149.0,-84.2,,,,,,,,,,,
Corey Clement,NYG,4.2,17.7,0.2,0.5,3.6,0.0,0.0,3.1,RB,3.455,150.0,-84.215,,,,,,,,,,,
Devine Ozigbo,JAC,2.9,12.3,0.1,1.5,11.6,0.0,0.0,3.0,RB,3.365,151.0,-84.305,,,,,,,,,,,
Khari Blasingame,TEN,0.5,2.1,0.0,2.3,19.4,0.1,0.0,2.7,RB,3.325,152.0,-84.345,,,,,,,,,,,
Dwayne Washington,NO,2.6,10.9,0.1,1.5,11.6,0.0,0.0,2.8,RB,3.225,153.0,-84.44500000000001,,,,,,,,,,,
Elijhaa Penny,NYG,2.5,10.3,0.1,1.5,10.9,0.0,0.0,2.8,RB,3.095,154.0,-84.575,,,,,,,,,,,
Jakob Johnson,NE,0.0,0.0,0.0,2.2,19.0,0.1,0.0,2.2,RB,3.05,155.0,-84.62,,,,,,,,,,,
Dare Ogunbowale,JAC,2.1,8.9,0.0,1.4,9.4,0.0,0.0,1.8,RB,2.18,156.0,-85.49,,,,,,,,,,,
Jonathan Williams,WAS,2.3,9.8,0.0,0.9,7.0,0.0,0.0,1.7,RB,1.9050000000000002,157.0,-85.765,,,,,,,,,,,
Patrick Laird,MIA,1.5,6.4,0.0,0.9,5.5,0.0,0.0,1.2,RB,1.415,158.0,-86.255,,,,,,,,,,,
Taiwan Jones,BUF,1.1,4.7,0.0,0.9,7.0,0.0,0.0,1.2,RB,1.395,159.0,-86.275,,,,,,,,,,,
C.J. Prosise,TB,0.9,3.6,0.0,1.0,7.0,0.0,0.0,1.1,RB,1.31,160.0,-86.36,,,,,,,,,,,
Elijah McGuire,KC,0.9,3.5,0.0,0.9,7.2,0.0,0.0,1.1,RB,1.2950000000000002,161.0,-86.375,,,,,,,,,,,
Ryan Nall,CHI,0.9,3.9,0.0,0.9,6.3,0.0,0.0,1.0,RB,1.245,162.0,-86.425,,,,,,,,,,,
Artavis Pierce,CHI,0.9,3.9,0.0,0.9,6.2,0.0,0.0,1.0,RB,1.235,163.0,-86.435,,,,,,,,,,,
Jason Huntley,PHI,0.9,3.9,0.0,0.9,6.1,0.0,0.0,1.0,RB,1.225,164.5,-86.44500000000001,,,,,,,,,,,
Adrian Killins Jr.,PHI,0.9,3.9,0.0,0.9,6.1,0.0,0.0,1.0,RB,1.225,164.5,-86.44500000000001,,,,,,,,,,,
Austin Walter,NYJ,0.9,3.6,0.0,0.9,6.3,0.0,0.0,1.0,RB,1.215,166.5,-86.455,,,,,,,,,,,
LeVante Bellamy,DEN,1.0,4.4,0.0,0.9,5.5,0.0,0.0,1.0,RB,1.215,166.5,-86.455,,,,,,,,,,,
Jason Cabinda,DET,0.8,3.5,0.0,1.0,6.1,0.0,0.0,1.0,RB,1.21,168.0,-86.46000000000001,,,,,,,,,,,
Nathan Cottrell,JAC,0.9,3.6,0.0,0.9,6.2,0.0,0.0,1.0,RB,1.205,169.0,-86.465,,,,,,,,,,,
Damarea Crockett,DEN,1.0,4.2,0.0,0.9,5.5,0.0,0.0,1.0,RB,1.195,170.0,-86.47500000000001,,,,,,,,,,,
Scottie Phillips,HOU,0.8,3.5,0.0,0.9,6.1,0.0,0.0,1.0,RB,1.185,171.0,-86.485,,,,,,,,,,,
Jordan Scarlett,MIA,0.9,3.9,0.0,0.9,5.3,0.0,0.0,0.9,RB,1.145,172.0,-86.525,,,,,,,,,,,
Taquan Mizzell,NYG,0.9,3.7,0.0,0.9,5.4,0.0,0.0,0.9,RB,1.135,173.0,-86.535,,,,,,,,,,,
Cullen Gillaspia,NYG,0.9,3.7,0.0,0.9,5.2,0.0,0.0,0.9,RB,1.115,174.0,-86.555,,,,,,,,,,,
Tony Jones Jr.,NO,0.9,0.7,0.0,0.2,0.4,0.0,0.0,0.1,RB,0.16,175.0,-87.51,,,,,,,,,,,
Tyreek Hill,KC,12.9,82.4,0.8,100.2,1436.1,12.3,0.7,229.2,WR,,,137.01500000000004,254.10000000000002,1.0,,,,,,,,,
Davante Adams,GB,0.0,0.0,0.0,122.5,1462.5,12.8,0.8,221.3,WR,,,134.99,252.07500000000002,2.0,,,,,,,,,
Stefon Diggs,BUF,2.4,15.6,0.1,113.6,1476.5,9.2,1.2,202.6,WR,,,113.925,231.01,3.0,,,,,,,,,
Calvin Ridley,ATL,4.6,26.1,0.1,99.8,1422.2,8.8,0.8,196.7,WR,,,104.49500000000002,221.58,4.0,,,,,,,,,
DeAndre Hopkins,ARI,0.9,4.4,0.0,122.1,1468.3,7.7,1.5,190.3,WR,,,103.91000000000004,220.99500000000003,5.0,,,,,,,,,
